date,temperature,humidity,lumnosity
2022-11-27 13:03:16.789,25.1,47.4,253
2022-11-27 13:03:15.145,25.1,47.3,253
2022-11-27 13:03:13.501,25.1,47.3,253
2022-11-27 13:03:11.858,25.1,47.4,253
2022-11-27 13:03:10.215,25.1,47.4,253
2022-11-27 13:03:08.572,25.1,47.5,253
2022-11-27 13:03:06.928,25.1,47.5,252
2022-11-27 13:03:05.284,25.1,47.6,252
2022-11-27 13:03:03.640,25.1,47.6,252
2022-11-27 13:03:01.996,25.1,47.7,252
2022-11-27 13:03:00.352,25.1,47.8,253
2022-11-27 13:02:58.709,25.1,47.7,254
2022-11-27 13:02:57.066,25.1,47.9,254
2022-11-27 13:02:55.422,25.1,48.0,254
2022-11-27 13:02:53.779,25.1,47.9,255
2022-11-27 13:02:52.137,25.1,48.0,254
2022-11-27 13:02:50.493,25.1,48.1,254
2022-11-27 13:02:48.848,25.1,48.2,254
2022-11-27 13:02:47.204,25.1,48.2,254
2022-11-27 13:02:45.560,25.1,48.1,254
2022-11-27 13:02:43.917,25.1,48.3,254
2022-11-27 13:02:42.273,25.1,48.5,255
2022-11-27 13:02:40.629,25.1,48.2,254
2022-11-27 13:02:38.985,25.1,48.5,254
2022-11-27 13:02:37.342,25.1,48.6,254
2022-11-27 13:02:35.698,25.1,48.7,254
2022-11-27 13:02:34.055,25.1,48.8,254
2022-11-27 13:02:32.411,25.1,48.0,254
2022-11-27 13:02:30.768,25.1,48.2,254
2022-11-27 13:02:29.124,25.1,48.3,254
2022-11-27 13:02:27.481,25.1,48.5,254
2022-11-27 13:02:25.838,25.1,48.6,254
2022-11-27 13:02:26.194,25.1,48.6,252
2022-11-27 13:02:22.552,25.1,48.7,252
2022-11-27 13:02:20.910,25.1,48.9,252
2022-11-27 13:02:19.266,25.1,48.0,252
2022-11-27 13:02:17.623,25.1,48.1,254
2022-11-27 13:02:15.979,25.1,48.5,255
2022-11-27 13:02:14.336,25.1,48.5,254
2022-11-27 13:02:12.692,25.1,48.5,254
2022-11-27 13:02:11.049,25.1,48.6,255
2022-11-27 13:02:09.405,25.1,48.9,255
2022-11-27 13:02:07.762,25.1,48.9,254
2022-11-27 13:02:06.119,25.1,49.1,254
2022-11-27 13:02:04.476,25.1,48.9,255
2022-11-27 13:02:02.834,25.1,48.9,255
2022-11-27 13:02:01.192,25.1,48.7,254
2022-11-27 13:01:59.548,25.1,48.4,254
2022-11-27 13:01:57.904,25.1,48.5,253
2022-11-27 13:01:56.261,25.1,48.2,253
2022-11-27 13:01:54.616,25.1,48.9,253
2022-11-27 13:01:52.973,25.1,48.7,253
2022-11-27 13:01:51.329,25.1,48.3,253
2022-11-27 13:01:49.686,25.1,48.5,253
2022-11-27 13:01:48.042,25.1,48.4,253
2022-11-27 13:01:46.399,25.1,48.2,253
2022-11-27 13:01:44.756,25.1,48.7,254
2022-11-27 13:01:43.113,25.1,48.6,253
2022-11-27 13:01:41.470,25.1,48.5,254
2022-11-27 13:01:39.826,25.1,48.7,254
2022-11-27 13:01:38.183,25.1,48.3,254
2022-11-27 13:01:36.540,25.1,48.2,254
2022-11-27 13:01:34.897,25.1,48.2,254
2022-11-27 13:01:33.253,25.1,48.3,255
2022-11-27 13:01:31.610,25.1,48.2,255
2022-11-27 13:01:29.966,25.1,48.2,254
2022-11-27 13:01:28.323,25.1,48.2,254
2022-11-27 13:01:26.681,25.1,48.4,254
2022-11-27 13:01:25.038,25.1,48.4,255
2022-11-27 13:01:23.395,25.1,48.4,255
2022-11-27 13:01:21.752,25.1,48.4,255
2022-11-27 13:01:20.109,25.1,48.4,255
2022-11-27 13:01:18.465,25.1,48.5,255
2022-11-27 13:00:48.942,25.0,48.6,255
2022-11-27 13:00:47.299,25.0,48.7,255
2022-11-27 13:00:45.655,25.1,48.7,255
2022-11-27 13:00:44.012,25.0,48.6,254
2022-11-27 13:00:42.368,25.0,48.7,255
2022-11-27 13:00:40.724,25.1,48.6,255
2022-11-27 13:00:39.082,25.1,48.5,255
2022-11-27 13:00:37.439,25.1,48.6,256
2022-11-27 13:00:35.795,25.0,48.7,256
2022-11-27 13:00:34.152,25.0,48.8,255
2022-11-27 13:00:32.508,25.0,48.6,255
2022-11-27 13:00:30.865,25.0,48.5,255
2022-11-27 13:00:29.222,25.0,48.6,255
2022-11-27 13:00:27.578,25.0,48.6,255
2022-11-27 13:00:25.935,25.0,48.5,255
2022-11-27 13:00:26.293,25.1,48.6,255
2022-11-27 13:00:22.650,25.1,48.6,256
2022-11-27 13:00:21.007,25.0,48.6,255
2022-11-27 13:00:19.363,25.0,48.4,255
2022-11-27 13:00:17.721,25.0,48.5,255
2022-11-27 13:00:16.076,25.0,48.6,255
2022-11-27 13:00:14.432,25.0,48.6,255
2022-11-27 13:00:12.790,25.1,48.5,255
2022-11-27 13:00:11.147,25.0,48.4,255
2022-11-27 13:00:09.503,25.0,48.5,255
2022-11-27 13:00:07.860,25.1,48.5,255
2022-11-27 13:00:06.218,25.0,48.5,255
2022-11-27 13:00:04.575,25.1,48.5,256
2022-11-27 13:00:02.931,25.1,48.5,256
2022-11-27 13:00:01.288,25.1,48.7,256
2022-11-27 12:59:59.644,25.0,48.5,256
2022-11-27 12:59:58.001,25.0,48.6,256
2022-11-27 12:59:56.357,25.1,48.5,255
2022-11-27 12:59:54.714,25.1,48.7,255
2022-11-27 12:59:53.072,25.1,48.6,252
2022-11-27 12:59:51.428,25.0,48.8,252
2022-11-27 12:59:49.785,25.1,48.0,252
2022-11-27 12:59:48.142,25.1,48.9,252
2022-11-27 12:59:46.497,25.0,48.8,253
2022-11-27 12:59:44.854,25.0,48.7,247
2022-11-27 12:59:43.210,25.1,48.6,247
2022-11-27 12:59:41.567,25.0,48.9,248
2022-11-27 12:59:39.924,25.1,48.6,248
2022-11-27 12:59:38.280,25.1,48.4,249
