date,temperature,humidity,luminosity
2022-11-26 17:20:20.331,26.0,47.2,242
2022-11-26 17:20:19.331,26.0,47.2,242
2022-11-26 17:20:18.053,26.0,47.2,244
2022-11-26 17:20:17.050,26.0,47.2,243
2022-11-26 17:20:15.776,26.0,47.2,242
2022-11-26 17:20:14.772,26.0,47.2,242
2022-11-26 17:20:13.494,26.0,47.2,242
2022-11-26 17:20:12.494,26.0,47.2,243
2022-11-26 17:20:11.216,26.0,47.2,242
2022-11-26 17:20:10.217,26.0,47.2,242
2022-11-26 17:20:08.939,26.0,47.2,244
2022-11-26 17:20:07.935,26.0,47.2,243
2022-11-26 17:20:06.661,26.0,47.2,243
2022-11-26 17:20:05.657,26.0,47.2,243
2022-11-26 17:20:04.379,26.0,47.2,244
2022-11-26 17:20:03.380,26.0,47.2,243
2022-11-26 17:20:02.102,26.0,47.1,243
2022-11-26 17:20:01.102,26.0,47.1,244
2022-11-26 17:19:59.824,26.0,47.1,243
2022-11-26 17:19:58.820,26.0,47.1,242
2022-11-26 17:19:57.546,26.0,47.0,243
2022-11-26 17:19:56.542,26.0,47.0,244
2022-11-26 17:19:55.265,26.0,46.9,244
2022-11-26 17:19:54.265,26.0,46.9,242
2022-11-26 17:19:52.987,26.0,46.8,242
2022-11-26 17:19:51.988,26.0,46.8,243
2022-11-26 17:19:50.710,26.0,46.7,241
2022-11-26 17:19:49.706,26.0,46.7,242
2022-11-26 17:19:48.432,26.0,46.6,241
2022-11-26 17:19:47.428,26.0,46.6,243
2022-11-26 17:19:46.154,26.0,46.5,243
2022-11-26 17:19:45.151,26.0,46.5,242
2022-11-26 17:19:43.872,26.0,46.5,243
2022-11-26 17:19:42.873,26.0,46.5,243
2022-11-26 17:19:41.595,26.0,46.5,243
2022-11-26 17:19:40.591,26.0,46.5,242
2022-11-26 17:19:39.317,26.0,46.5,243
2022-11-26 17:19:38.314,26.0,46.5,244
2022-11-26 17:19:37.040,26.0,46.5,243
2022-11-26 17:19:36.036,26.0,46.5,243
2022-11-26 17:19:34.758,26.0,46.4,243
2022-11-26 17:19:33.758,26.0,46.4,244
2022-11-26 17:19:32.480,26.0,46.3,243
2022-11-26 17:19:31.481,26.0,46.3,243
2022-11-26 17:19:30.203,26.0,46.3,244
2022-11-26 17:19:29.199,26.0,46.3,243
